subject session target block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_102 sess2 pfc 3 29 3 neutral neut_incomp 1 3 left up X pink R R 1 1222 845 879 965 1081 NA 1 non-match down d d 1 614
OGWM_102 sess2 pfc 3 30 3 neutral neut_comp 3 1 up left X orange U U 1 1118 613 647 959 1093 NA 1 match up s s 1 590
OGWM_102 sess2 pfc 3 31 3 neutral neut_incomp 2 3 right up X green L L 1 1030 317 387 663 921 NA 2 match up s s 1 544
OGWM_102 sess2 pfc 3 32 1 compatible cued_comp 1 3 left up 2 orange U U 1 986 505 523 815 931 valid 2 non-match down d d 1 522
OGWM_102 sess2 pfc 3 33 3 neutral neut_incomp 3 2 up right X green L L 1 1350 469 487 819 1269 NA 2 match right s s 1 798
OGWM_102 sess2 pfc 3 34 2 incompatible incomp 3 2 up right 2 green L L 1 1912 1095 1111 1715 1815 valid 2 non-match up d d 1 624
OGWM_102 sess2 pfc 3 35 2 incompatible uncued_comp 4 3 down up 2 blue D D 1 782 373 409 529 647 valid 2 match up s s 1 511
OGWM_102 sess2 pfc 3 36 2 incompatible incomp 1 2 left right 1 orange U U 1 820 379 429 587 737 invalid 2 match right s s 1 453
OGWM_102 sess2 pfc 4 1 3 neutral neut_incomp 3 4 up down X pink R R 1 842 257 325 621 719 NA 2 non-match up d d 1 514
OGWM_102 sess2 pfc 4 2 2 incompatible incomp 2 4 right down 1 orange U U 1 838 389 423 577 659 valid 1 non-match left d d 1 710
OGWM_102 sess2 pfc 4 3 2 incompatible incomp 4 3 down up 1 pink R R 1 850 489 541 645 779 valid 1 non-match right d d 1 500
OGWM_102 sess2 pfc 4 4 3 neutral neut_incomp 2 3 right up X green L L 1 1062 405 441 527 805 NA 2 non-match left d d 1 519
OGWM_102 sess2 pfc 4 5 2 incompatible uncued_comp 4 3 down up 2 blue D D 1 972 595 611 699 805 valid 2 non-match down d d 1 532
OGWM_102 sess2 pfc 4 6 1 compatible cued_comp 2 4 right down 2 blue D D 1 942 541 575 815 No-drop valid 2 non-match up d d 1 623
OGWM_102 sess2 pfc 4 7 1 compatible cued_comp 3 1 up left 2 green L L 1 1350 853 921 1179 1279 valid 2 non-match right d d 1 575
OGWM_102 sess2 pfc 4 8 3 neutral neut_incomp 2 1 right left X blue D D 1 1024 647 681 837 919 NA 1 non-match left d d 1 449
OGWM_102 sess2 pfc 4 9 2 incompatible incomp 4 2 down right 2 orange U U 1 1200 559 593 1077 1159 valid 2 match right s s 1 440
OGWM_102 sess2 pfc 4 10 2 incompatible uncued_comp 4 2 down right 1 pink R R 1 1382 373 459 1099 1197 invalid 2 match right s s 1 615
OGWM_102 sess2 pfc 4 11 1 compatible cued_comp 1 3 left up 1 green L L 1 758 445 479 583 629 valid 1 match left s d 0 375
OGWM_102 sess2 pfc 4 12 2 incompatible incomp 3 1 up left 2 pink R R 1 1040 695 731 851 915 valid 2 match left s s 1 489
OGWM_102 sess2 pfc 4 13 1 compatible cued_comp 1 3 left up 1 green L L 1 1278 789 857 1151 1269 valid 1 match left s s 1 422
OGWM_102 sess2 pfc 4 14 3 neutral neut_comp 3 1 up left X orange U U 1 1334 1029 1063 1167 1267 NA 2 non-match up d d 1 431
OGWM_102 sess2 pfc 4 15 3 neutral neut_comp 4 2 down right X pink R R 1 1438 1093 1127 1231 No-drop NA 2 match right s s 1 518
OGWM_102 sess2 pfc 4 16 1 compatible cued_comp 2 4 right down 2 blue D  0 Time-out 1033 1067 1171 No-drop valid 2 match down s s 1 409
OGWM_102 sess2 pfc 4 17 2 incompatible incomp 2 1 right left 1 orange U U 1 904 567 603 757 857 invalid 2 non-match right d d 1 538
OGWM_102 sess2 pfc 4 18 1 compatible cued_comp 3 2 up right 1 orange U U 1 1254 717 733 1143 No-drop invalid 2 match right s s 1 478
OGWM_102 sess2 pfc 4 19 3 neutral neut_comp 2 3 right up X pink R R 1 1586 1033 1085 1431 1443 NA 1 non-match down d d 1 700
OGWM_102 sess2 pfc 4 20 1 compatible cued_comp 2 3 right up 2 orange U U 1 1128 559 593 907 1075 valid 2 non-match left d d 1 680
OGWM_102 sess2 pfc 4 21 3 neutral neut_comp 1 3 left up X orange U U 1 788 499 517 569 755 NA 1 non-match down d d 1 566
OGWM_102 sess2 pfc 4 22 2 incompatible uncued_comp 4 3 down up 2 blue D D 1 862 365 503 573 689 valid 2 match up s s 1 512
OGWM_102 sess2 pfc 4 23 3 neutral neut_incomp 3 1 up left X blue D D 1 940 555 573 763 879 NA 1 match up s s 1 941
OGWM_102 sess2 pfc 4 24 3 neutral neut_comp 1 4 left down X blue D D 1 1262 589 607 675 1117 NA 1 match left s s 1 703
OGWM_102 sess2 pfc 4 25 1 compatible cued_comp 4 3 down up 1 blue D D 1 956 507 541 783 No-drop valid 1 match down s s 1 356
OGWM_102 sess2 pfc 4 26 3 neutral neut_incomp 3 2 up right X blue D D 1 1062 493 585 945 No-drop NA 2 match right s s 1 703
OGWM_102 sess2 pfc 4 27 2 incompatible incomp 2 3 right up 2 blue D D 1 826 361 397 483 617 valid 2 match up s s 1 420
OGWM_102 sess2 pfc 4 28 1 compatible cued_comp 1 3 left up 2 orange U U 1 1466 785 1019 1385 No-drop valid 2 match up s s 1 492
OGWM_102 sess2 pfc 4 29 3 neutral neut_comp 1 3 left up X orange U U 1 1304 663 699 1131 1131 NA 2 match up s s 1 417
OGWM_102 sess2 pfc 4 30 2 incompatible uncued_comp 3 1 up left 1 green L L 1 1104 239 417 901 1071 valid 1 non-match left d d 1 673
