subject	session	target	block	trial	CurrentCondition	TrialType	CompType	CurrentSampleIndex_1	CurrentSampleIndex_2	CurrentSample_1	CurrentSample_2	CurrentCue	cueColor	correctResp	Resp	ACC	msecRT	move_init_msecRT	move_init_bound_msecRT	enter_box_msecRT	velocity_drop_msecRT	cueValidity	probe_loc	probeMatch	CurrentProbeSample	correctProbeResp	probeResp	probeACC	probemsecRT
OGWM_102	sess1	s1	3	20	2	incompatible	uncued_comp	1	4	left	down	1	blue	D	D	1	1434	985	1001	1089	1239	valid	1	match	left	s	s	1	562
OGWM_102	sess1	s1	3	21	2	incompatible	incomp	2	4	right	down	2	orange	U	U	1	1260	635	653	791	925	valid	2	non-match	up	d	d	1	781
OGWM_102	sess1	s1	3	22	1	compatible	cued_comp	1	4	left	down	2	blue	D	D	1	1558	1085	1171	1449	1449	invalid	1	match	left	s	d	0	637
OGWM_102	sess1	s1	3	23	3	neutral	neut_comp	3	4	up	down	X	orange	U	U	1	1532	1243	1261	1399	1499	NA	2	non-match	right	d	s	0	1957
OGWM_102	sess1	s1	3	24	2	incompatible	uncued_comp	2	1	right	left	1	green	L	L	1	960	375	563	819	849	valid	1	match	right	s	NA	0	9999000
OGWM_102	sess1	s1	3	25	2	incompatible	uncued_comp	3	4	up	down	2	orange	U	U	1	1152	663	715	1043	1125	valid	2	non-match	left	d	NA	0	9999000
OGWM_102	sess1	s1	3	26	1	compatible	cued_comp	1	3	left	up	1	green	L	L	1	1322	719	909	1269	1317	valid	1	non-match	right	d	d	1	1009
OGWM_102	sess1	s1	3	27	1	compatible	cued_comp	2	1	right	left	2	green	L		0	Time-out	1425	1441	1493	No-drop	valid	2	non-match	down	d	d	1	873
OGWM_102	sess1	s1	3	28	1	compatible	cued_comp	2	4	right	down	2	blue	D	D	1	1126	437	455	941	1023	valid	2	non-match	up	d	s	0	1104
OGWM_102	sess1	s1	3	29	2	incompatible	incomp	4	3	down	up	2	green	L	L	1	940	243	293	795	795	valid	2	match	up	s	d	0	572
OGWM_102	sess1	s1	3	30	1	compatible	cued_comp	4	2	down	right	2	pink	R	R	1	1662	309	447	1559	1559	valid	2	match	right	s	d	0	934
OGWM_102	sess1	s1	3	31	3	neutral	neut_comp	3	1	up	left	X	green	L	L	1	1336	775	845	1207	No-drop	NA	2	non-match	up	d	d	1	1113
OGWM_102	sess1	s1	3	32	3	neutral	neut_incomp	4	2	down	right	X	orange	U	U	1	1692	1387	1405	1491	1591	NA	2	match	right	s	d	0	1222
OGWM_102	sess1	s1	3	33	1	compatible	cued_comp	4	3	down	up	1	blue	D	D	1	1334	573	641	935	1085	valid	1	non-match	left	d	s	0	758
OGWM_102	sess1	s1	3	34	3	neutral	neut_comp	1	2	left	right	X	green	L	L	1	1960	1015	1083	1801	1919	NA	1	match	left	s	s	1	553
OGWM_102	sess1	s1	3	35	2	incompatible	incomp	4	2	down	right	2	orange	U	U	1	1826	1297	1315	1745	1793	valid	2	non-match	down	d	s	0	780
OGWM_102	sess1	s1	3	36	1	compatible	cued_comp	3	2	up	right	1	orange	U	U	1	1636	867	971	1507	1519	valid	1	match	up	s	s	1	1286
OGWM_102	sess1	s1	4	1	1	compatible	cued_comp	3	1	up	left	2	green	L	L	1	1970	1329	1381	1895	1895	valid	2	match	left	s	s	1	690
OGWM_102	sess1	s1	4	2	3	neutral	neut_comp	2	3	right	up	X	orange	U	U	1	1430	13	527	1223	1373	NA	1	match	right	s	d	0	440
OGWM_102	sess1	s1	4	3	2	incompatible	incomp	2	4	right	down	1	green	L	L	1	1550	1125	1159	1263	1381	valid	1	non-match	down	d	d	1	896
OGWM_102	sess1	s1	4	4	2	incompatible	incomp	3	4	up	down	2	green	L	L	1	820	371	423	595	747	valid	2	match	down	s	d	0	1332
OGWM_102	sess1	s1	4	5	1	compatible	cued_comp	4	3	down	up	1	blue	D	D	1	1006	85	473	783	783	valid	1	non-match	right	d	s	0	952
OGWM_102	sess1	s1	4	6	2	incompatible	uncued_comp	3	4	up	down	2	orange	U	U	1	1186	233	539	903	903	invalid	1	non-match	right	d	s	0	953
OGWM_102	sess1	s1	4	7	1	compatible	cued_comp	3	1	up	left	1	orange	U	U	1	1340	851	919	1161	1227	valid	1	match	up	s	s	1	1045
OGWM_102	sess1	s1	4	8	2	incompatible	uncued_comp	1	4	left	down	1	blue	D	D	1	964	499	551	689	925	valid	1	non-match	down	d	d	1	1132
OGWM_102	sess1	s1	4	9	1	compatible	cued_comp	4	3	down	up	1	blue	D	D	1	1166	69	689	1035	No-drop	valid	1	non-match	up	d	s	0	872
OGWM_102	sess1	s1	4	10	3	neutral	neut_comp	3	2	up	right	X	orange	U	U	1	948	443	479	617	699	NA	2	match	right	s	d	0	349
OGWM_102	sess1	s1	4	11	3	neutral	neut_comp	4	2	down	right	X	blue	D	D	1	630	181	217	475	No-drop	NA	1	non-match	up	d	d	1	328
OGWM_102	sess1	s1	4	12	3	neutral	neut_comp	4	2	down	right	X	pink	R	R	1	924	9	27	673	755	NA	1	match	down	s	s	1	1164
OGWM_102	sess1	s1	4	13	2	incompatible	incomp	1	2	left	right	2	blue	D		0	Time-out	195	No-move	No-move	No-drop	valid	2	match	right	s	s	1	534
OGWM_102	sess1	s1	4	14	1	compatible	cued_comp	3	2	up	right	2	pink	R	R	1	1304	831	935	1039	1247	valid	2	non-match	down	d	d	1	825
OGWM_102	sess1	s1	4	15	1	compatible	cued_comp	1	4	left	down	2	blue	D	D	1	1032	567	601	723	839	valid	2	match	down	s	s	1	1401
OGWM_102	sess1	s1	4	16	3	neutral	neut_comp	1	4	left	down	X	green	L	L	1	656	9	43	545	No-drop	NA	2	non-match	up	d	d	1	968
OGWM_102	sess1	s1	4	17	1	compatible	cued_comp	3	1	up	left	2	green	L	L	1	1402	585	637	845	1205	invalid	1	match	up	s	s	1	1348
OGWM_102	sess1	s1	4	18	3	neutral	neut_incomp	2	1	right	left	X	orange	U	U	1	1246	21	403	1039	1069	NA	2	match	left	s	d	0	838
OGWM_102	sess1	s1	4	19	2	incompatible	uncued_comp	4	2	down	right	2	blue	D	D	1	852	483	535	691	789	invalid	1	non-match	up	d	d	1	1053
OGWM_102	sess1	s1	4	20	2	incompatible	uncued_comp	1	3	left	up	1	orange	U	U	1	922	497	639	725	841	valid	1	match	left	s	s	1	852
OGWM_102	sess1	s1	4	21	3	neutral	neut_incomp	2	3	right	up	X	blue	D	D	1	1306	457	491	559	859	NA	2	non-match	left	d	NA	0	9999000
OGWM_102	sess1	s1	4	22	2	incompatible	incomp	2	3	right	up	1	green	L	L	1	794	369	507	609	743	valid	1	match	right	s	d	0	859
OGWM_102	sess1	s1	4	23	1	compatible	cued_comp	4	2	down	right	1	blue	D	D	1	1626	1249	1283	1471	No-drop	valid	1	non-match	up	d	d	1	842
OGWM_102	sess1	s1	4	24	2	incompatible	incomp	2	4	right	down	1	orange	U	U	1	1120	55	381	927	927	valid	1	match	right	s	d	0	730
OGWM_102	sess1	s1	4	25	2	incompatible	incomp	4	1	down	left	2	orange	U	U	1	1028	9	9	869	987	valid	2	non-match	down	d	NA	0	9999000
OGWM_102	sess1	s1	4	26	3	neutral	neut_incomp	1	2	left	right	X	blue	D	D	1	1446	1093	1159	1261	1359	NA	2	non-match	left	d	s	0	790
OGWM_102	sess1	s1	4	27	1	compatible	cued_comp	4	3	down	up	1	blue	D	D	1	1230	829	847	933	1067	valid	1	non-match	right	d	NA	0	9999000
OGWM_102	sess1	s1	4	28	1	compatible	cued_comp	1	4	left	down	1	green	L	L	1	1360	743	913	1207	1360	valid	1	non-match	right	d	d	1	872
OGWM_102	sess1	s1	4	29	3	neutral	neut_incomp	1	3	left	up	X	blue	D	D	1	1358	421	627	1007	1211	NA	2	match	up	s	d	0	734
OGWM_102	sess1	s1	4	30	3	neutral	neut_incomp	1	2	left	right	X	orange	U	U	1	880	479	617	755	819	NA	1	non-match	up	d	d	1	1354
OGWM_102	sess1	s1	4	31	1	compatible	cued_comp	2	1	right	left	2	green	L	L	1	1690	1105	1141	1467	1549	valid	2	match	left	s	d	0	1116
OGWM_102	sess1	s1	4	32	3	neutral	neut_incomp	2	3	right	up	X	blue	D	D	1	974	445	481	861	861	NA	2	non-match	right	d	s	0	936
OGWM_102	sess1	s1	4	33	1	compatible	cued_comp	4	3	down	up	2	orange	U	U	1	1010	145	325	841	841	valid	2	match	up	s	s	1	595
OGWM_102	sess1	s1	4	34	2	incompatible	incomp	3	1	up	left	1	blue	D	D	1	940	491	509	577	765	valid	1	non-match	left	d	s	0	1893
OGWM_102	sess1	s1	4	35	3	neutral	neut_comp	2	4	right	down	X	pink	R		0	Time-out	1057	1075	1143	1295	NA	1	match	right	s	d	0	553
OGWM_102	sess1	s1	4	36	2	incompatible	incomp	3	2	up	right	2	green	L	L	1	1068	563	711	971	No-drop	valid	2	match	right	s	s	1	564
