,subject,target,BlockType,TrialType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4
39,OGWM_104,PFC_cTBS,neutral,incompatible,5.333333333333333,762.8148148148148,1051.8076923076924,1172.0222222222221,1240.6078431372548,0.9444444444444444,588.3703703703703,0.9259259259259259,0.14814814814814814,0.24074074074074073,20.73189794633532,18.489410987319506,20.99392295560348,29.15753395682632
40,OGWM_104,PFC_cTBS,valid,compatible,5.0,528.7831325301205,684.7349397590361,814.7538461538461,877.1927710843373,0.9880952380952381,801.8214285714286,0.9404761904761905,0.011904761904761904,0.011904761904761904,23.897010652949717,45.07004527640779,4.8764582827915115,6.132374891178239
41,OGWM_104,PFC_cTBS,valid,incompatible,5.0,678.9166666666666,1028.5833333333333,1099.0,1200.8695652173913,0.9583333333333334,417283.0416666667,0.9583333333333334,0.20833333333333334,0.3333333333333333,6.460737458571223,2.089376364959314,29.676949293047475,40.94880879577303
42,OGWM_104,PFC_iTBS,invalid,compatible,7.333333333333333,566.0,729.5833333333334,806.75,975.6666666666666,1.0,613.4583333333334,1.0,0.0,0.0,28.916727348330117,14.47340220581213,2.6456480010438526,2.976131237176793
43,OGWM_104,PFC_iTBS,invalid,incompatible,7.333333333333333,738.7349397590361,965.425,1050.0684931506848,1184.641975308642,0.9404761904761905,546.0952380952381,0.9880952380952381,0.11904761904761904,0.15476190476190477,26.18100238258324,49.55101197671088,16.182150269165636,20.82164921531334
44,OGWM_104,PFC_iTBS,neutral,compatible,2.6666666666666665,558.6851851851852,736.1666666666666,857.1136363636364,952.6481481481482,1.0,664.2962962962963,1.0,0.0,0.0,39.81172161402657,53.65076705626097,2.554825537071864,3.325283028325514
45,OGWM_104,PFC_iTBS,neutral,incompatible,2.6666666666666665,710.5555555555555,998.7735849056604,1056.9791666666667,1200.377358490566,0.9629629629629629,614.1851851851852,0.9814814814814815,0.14814814814814814,0.2037037037037037,8.520240077374808,22.086869835691118,21.556399281946742,28.483019486044622
46,OGWM_104,PFC_iTBS,valid,compatible,4.976470588235294,506.3411764705882,690.435294117647,791.986301369863,909.9882352941177,1.0,594.6941176470589,0.9882352941176471,0.0,0.03529411764705882,19.86840049190678,24.992313148980294,4.5803394475686,7.964445151915063
47,OGWM_104,PFC_iTBS,valid,incompatible,5.086956521739131,609.2608695652174,912.6190476190476,909.6,1121.8260869565217,0.9130434782608695,505.7826086956522,1.0,0.2608695652173913,0.2608695652173913,44.42521698481037,44.14259792848938,34.05287868694973,33.91842505902592
48,OGWM_104,no_TMS,invalid,compatible,4.0,619.25,853.5,959.7619047619048,1082.0,1.0,590.1666666666666,1.0,0.0,0.0,29.91060922001087,45.29288157443397,3.092456566106982,5.639578556775615
49,OGWM_104,no_TMS,invalid,incompatible,4.0,799.8928571428571,1043.7777777777778,1144.16,1276.6543209876543,0.9642857142857143,572.9047619047619,0.9761904761904762,0.047619047619047616,0.09523809523809523,29.50988849442431,5.138104878517476,9.219981233325703,14.811533349846778
50,OGWM_104,no_TMS,neutral,compatible,5.333333333333333,615.2592592592592,820.622641509434,948.5555555555555,1004.7307692307693,0.9629629629629629,185772.92592592593,0.6481481481481481,0.037037037037037035,0.05555555555555555,-45.6054458906971,-54.98757333160057,10.57754436683862,14.75748678632752
51,OGWM_104,no_TMS,neutral,incompatible,5.333333333333333,742.2037037037037,1015.0377358490566,1094.188679245283,1190.8076923076924,0.9444444444444444,653.2222222222222,0.6296296296296297,0.05555555555555555,0.1111111111111111,-12.904218372391423,8.508217418141145,10.034422573755856,15.028046346490388
52,OGWM_104,no_TMS,valid,compatible,5.623529411764705,510.3764705882353,670.1071428571429,809.5061728395061,903.0595238095239,0.9882352941176471,658.2117647058824,0.9882352941176471,0.011764705882352941,0.011764705882352941,-11.710503968631263,1.1422040046666355,4.641086463995771,5.51330574550041
53,OGWM_104,no_TMS,valid,incompatible,5.826086956521739,685.0,1048.7391304347825,1161.6,1279.391304347826,1.0,595.8260869565217,0.9565217391304348,0.17391304347826086,0.2608695652173913,39.086283632097896,38.1258574164288,26.852964948811,35.8062956194533
