,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT
235,OGWM_115,PFC_cTBS,compatible,neutral,3.2884615384615383,475.61538461538464,689.0192307692307,790.0930232558139,887.7884615384615,1.0,602.6153846153846,1.0,0.0,0.019230769230769232,38.87196110561341,37.55469442074643,8.077991486833765,11.096406029535807,412.1730769230769
236,OGWM_115,PFC_cTBS,compatible,valid,6.075,445.525,641.65,750.0192307692307,788.625,1.0,567.2875,1.0,0.0,0.05,22.41638720021643,36.874493372849564,5.896971021291272,9.832650510743594,343.1
237,OGWM_115,PFC_cTBS,incompatible,invalid,5.590361445783133,500.87951807228916,770.5903614457832,809.5416666666666,928.7469879518072,1.0,636.0240963855422,1.0,0.12048192771084337,0.25301204819277107,7.981205079139921,4.493004903986487,17.330074568672973,33.851818247197315,427.86746987951807
238,OGWM_115,PFC_cTBS,incompatible,neutral,3.4489795918367347,552.7551020408164,820.0816326530612,920.2571428571429,1000.0408163265306,1.0,624.1836734693877,0.9591836734693877,0.08163265306122448,0.16326530612244897,28.205069300214415,28.92385182291083,17.698625690531046,27.03135722876341,447.2857142857143
239,OGWM_115,PFC_cTBS,incompatible,valid,5.818181818181818,476.3181818181818,753.6818181818181,851.2142857142857,921.4090909090909,1.0,673.7727272727273,1.0,0.18181818181818182,0.2727272727272727,9.480494059317884,-3.372378403193281,22.728444720961395,35.28268116036963,445.09090909090907
240,OGWM_115,PFC_iTBS,compatible,invalid,7.2727272727272725,588.4545454545455,787.0,844.7777777777778,905.5909090909091,1.0,645.7727272727273,1.0,0.0,0.0,15.092392538035318,31.713438132334012,4.882687861503583,6.243102616278907,317.1363636363636
241,OGWM_115,PFC_iTBS,compatible,neutral,2.0384615384615383,617.6923076923077,845.6538461538462,929.6666666666666,990.3846153846154,1.0,750.3653846153846,1.0,0.038461538461538464,0.07692307692307693,-12.654254139465344,-5.170244590268267,8.529515682676564,11.638759349483282,372.6923076923077
242,OGWM_115,PFC_iTBS,compatible,valid,5.63855421686747,565.3132530120482,750.6385542168674,874.625,895.722891566265,1.0,770.8192771084338,1.0,0.012048192771084338,0.012048192771084338,20.153918004324385,23.895228387206963,5.461751191871826,7.10471043497293,330.4096385542169
243,OGWM_115,PFC_iTBS,incompatible,invalid,7.4375,649.875,887.975,985.2702702702703,1013.05,1.0,757.3625,0.975,0.075,0.125,42.686501034877246,42.67070063947243,12.872288027692216,22.29562838165959,363.175
244,OGWM_115,PFC_iTBS,incompatible,neutral,1.98,679.4,877.32,923.030303030303,1032.28,1.0,816.74,1.0,0.06,0.06,11.912482474641406,-1.4269504495585414,8.527037911153252,12.432110338575782,352.88
245,OGWM_115,PFC_iTBS,incompatible,valid,5.590909090909091,598.0909090909091,871.9090909090909,968.1875,1050.4545454545455,1.0,796.5454545454545,0.9545454545454546,0.09090909090909091,0.13636363636363635,-16.77625615620756,-34.555620804373945,14.473656815938744,24.957657025971002,452.3636363636364
246,OGWM_115,no_TMS,compatible,invalid,4.333333333333333,619.6666666666666,880.0,977.1904761904761,1069.25,1.0,762.4166666666666,1.0,0.0,0.041666666666666664,1.3367348708434352,28.386602235684396,5.22502825450168,10.851072745224537,449.5833333333333
247,OGWM_115,no_TMS,compatible,neutral,4.037735849056604,575.9056603773585,848.2452830188679,917.3333333333334,1009.7735849056604,1.0,745.2264150943396,0.9811320754716981,0.03773584905660377,0.03773584905660377,-31.553784349946643,-43.93650438850645,8.924624799637103,12.189259735869225,433.8679245283019
