,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT,trial_count,correction_proportion,correction_proportion_1_4
31,OGWM_103,no_TMS,compatible,neutral,288,25834.0,35630.0,35984.0,44882.0,54,36691,53,0.0,3.0,2121.0611892829143,1348.7218670329212,245.52137850106854,494.39179223847907,19048.0,54.0,0.0,0.05555555555555555
32,OGWM_103,no_TMS,compatible,valid,546,38066.0,54768.0,56087.0,69354.0,82,57364,82,3.0,5.0,4534.865440134354,2079.4724326213945,721.0681047095754,990.2911587140619,31288.0,86.0,0.03488372093023256,0.05813953488372093
33,OGWM_103,no_TMS,incompatible,invalid,242,42903.0,59355.0,60281.0,75474.0,81,58910,79,2.0,8.0,1719.432110880411,1332.647192309135,716.7669455225649,1245.9652657596018,32571.0,85.0,0.023529411764705882,0.09411764705882353
34,OGWM_103,no_TMS,incompatible,neutral,279,25358.0,38610.0,34976.0,46756.0,51,34330,48,5.0,7.0,1662.221214961858,1098.8738388768115,764.2398732203253,1109.4878598264004,21398.0,54.0,0.09259259259259259,0.12962962962962962
35,OGWM_103,no_TMS,incompatible,valid,134,10002.0,13788.0,14781.0,17752.0,20,13832,20,1.0,1.0,2176.8392411743143,2124.253446192204,164.5496436971056,219.74688276955894,7750.0,22.0,0.045454545454545456,0.045454545454545456
36,OGWM_104,PFC_cTBS,compatible,invalid,96,11588.0,15146.0,13846.0,18906.0,20,12895,20,0.0,0.0,1774.3616619287175,1776.1383674477938,39.148843233907996,51.24856405591993,7318.0,21.0,0.0,0.0
37,OGWM_104,PFC_cTBS,compatible,neutral,279,28589.0,39637.0,38993.0,50536.0,53,33672,52,1.0,2.0,2864.1696907612973,3899.5137020626094,342.76360415840657,431.26844032403176,21947.0,54.0,0.018518518518518517,0.037037037037037035
38,OGWM_104,PFC_cTBS,compatible,valid,408,42212.0,55070.0,51114.0,70875.0,82,65116,77,0.0,0.0,1828.4721975618518,3607.5321477231505,228.49919304041157,333.471146354076,28663.0,84.0,0.0,0.0
39,OGWM_104,PFC_cTBS,incompatible,invalid,373,61466.0,80172.0,74813.0,95982.0,80,47756,77,4.0,9.0,1887.3753739770277,715.3832134544243,719.920870391538,1324.658427623699,34516.0,87.0,0.04597701149425287,0.10344827586206896
40,OGWM_104,PFC_cTBS,incompatible,neutral,229,32567.0,41189.0,39121.0,49974.0,43,23908,41,1.0,3.0,1353.2010440686008,832.394440082113,283.1210402386456,507.37086971336146,17407.0,54.0,0.018518518518518517,0.05555555555555555
41,OGWM_104,PFC_cTBS,incompatible,valid,97,12864.0,19186.0,18583.0,23148.0,20,13181,20,3.0,5.0,226.32798452826546,33.4249756946204,423.5170685556955,606.0513540341497,10284.0,24.0,0.125,0.20833333333333334
42,OGWM_104,PFC_iTBS,compatible,invalid,170,12953.0,16759.0,12093.0,21480.0,23,14358,23,0.0,0.0,514.0014563599228,167.36165293949117,63.49555202505246,71.42714969224303,8527.0,24.0,0.0,0.0
43,OGWM_104,PFC_iTBS,compatible,neutral,139,28782.0,38246.0,36022.0,49737.0,53,35130,53,0.0,0.0,2327.8748997282014,2720.23547909701,136.00251157264663,176.47122547066064,20955.0,54.0,0.0,0.0
44,OGWM_104,PFC_iTBS,compatible,valid,419,42706.0,57204.0,57815.0,75796.0,84,49760,83,0.0,3.0,1508.8140418120763,1944.346617663325,389.32885304333104,676.9778379127804,33090.0,85.0,0.0,0.03529411764705882
45,OGWM_104,PFC_iTBS,incompatible,invalid,541,52553.0,69399.0,66540.0,85464.0,75,40079,74,5.0,7.0,2108.5945549782077,3642.0572547655297,722.5756837805574,1011.3107747476374,32911.0,84.0,0.05952380952380952,0.08333333333333333
46,OGWM_104,PFC_iTBS,incompatible,neutral,130,35142.0,47736.0,47922.0,58776.0,50,30061,49,5.0,8.0,735.6579689077473,1465.20952445662,899.0596492423613,1269.6545894582393,23634.0,54.0,0.09259259259259259,0.14814814814814814
47,OGWM_104,PFC_iTBS,incompatible,valid,101,12684.0,17758.0,16802.0,22206.0,20,10333,20,3.0,3.0,1107.484253831178,1100.9164428528388,510.1394861337336,506.8021796041834,9522.0,23.0,0.13043478260869565,0.13043478260869565
